code,name,river,basin,state,district,division,lat,lon,rl_zero,warning_level,danger_level,hfl,hfl_date
004-MAHGAND,Mataji,Mahi,Mahi,Madhya Pradesh,RATLAM,"Executive Engineer, Mahi Divison, Gandhinagar",23.349722222222223,74.71805555555555,284.0,,,298.32,2006-09-06
004-MBDGHY,Pagladiya N T Road Crossing,Pagladiya,Brahmaputra,Assam,NALBARI,"Middle Brahmaputra Division (MBD), Guwahati",26.45040277777778,91.45980277777778,48.0,51.75,52.75,55.45,2004-07-08
004-MDBURLA,Bangodam,Hasdeo,Mahanadi,Chhattisgarh,KORBA,"Mahanadi Division(MD), Burla",22.6,82.58,292.0,,,302.1,1984-09-23
004-MGD1LKN,Pancheshwar,Sarda,Ganga,Uttarakhand,Champawat,"Middle Ganga Division-I(MGD-I), Lucknow",29.43805555555556,80.24583333333334,415.0,,,433.3,2021-10-19
004-MGD2LKN,Kannauj,Ganga,Ganga,Uttar Pradesh,KANNAUJ,"Middle Ganga Division-II(MGD-II), Lucknow",27.02083333333333,79.98305555555555,117.0,124.97,125.97,126.78,2010-09-27
004-MGD4PTN,Sikandarpur (Muzzafarpur),Burhi Gandak,Ganga,Bihar,MUZAFFARPUR,"Lower Ganga Division-I(LGD-I), Patna",26.142777777777777,85.3761111111111,42.0,51.53,52.53,54.29,1987-08-15
004-MGD5PTN,Hathidah,Ganga,Ganga,Bihar,PATNA,"Lower Ganga Division-II(LGD-II), Patna",25.385,85.9875,30.31,40.76,41.76,43.52,2021-08-16
004-NDBHP,Chhidgaon,Ganjal,Narmada,Madhya Pradesh,HARDA,"Narmada Division(ND), Bhopal",22.40119444444444,77.3086111111111,287.0,,,301.92,2007-07-08
004-SHDSIM,RAMPUR_1,Satluj,Indus,Himachal Pradesh,SHIMLA,"Snow Hydrology Division(SHD), Shimla",31.44311111111111,77.628,909.0,,,924.5,2023-07-09
004-SWRDKOCHI,KUTTYADI,Kuttyadi,West flowing rivers from Tadri to Kanyakumari,Kerala,KOZHIKODE,"Southern Western River Division(SWRD), Kochi",11.650833333333331,75.75833333333334,0.0,5.95,6.95,8.7,2019-08-08
004-TDSURAT,Bharuch,Narmada,Narmada,Gujarat,Bharuch,"Executive Engineer, Tapi Division, Surat",21.7,73.0,0.0,6.705,7.315,12.645,1970-09-06
004-UBDDIB,Lemeking,Subansiri,Brahmaputra,Arunachal Pradesh,UPPER SUBANSIRI,"Upper Brahmaputra Division (UBD), Dibrugarh",28.372777777777777,93.55972222222222,1096.0,,,1107.17,2021-08-29
004-UKDPUNE,Arjunwad (Seasonal),Krishna,Krishna,Maharashtra,Kolhapur,"Upper Krishna Division(UKD), Pune",16.781944444444445,74.63222222222221,523.225,539.2,540.7,544.345,2019-08-09
004-UYDDEL,Tuini (Tons),Tons,Ganga,Uttarakhand,Dehradun,"Upper Yamuna Division(UYD), New Delhi",30.939722222222223,77.84666666666666,880.0,901.5,902.5,904.0,1988-09-25
004-hydchennai,Somasila Dam,Pennar,Pennar,Andhra Pradesh,NELLORE,"Hydrology Division(HD),Chennai",14.48,79.3,0.0,,,,
004-lgdhyd,Kosagumda (Bhaskel),Bhaskal,Godavari,Odisha,Nabarangapur,"Lower Godavari Division(LGD), Hyderabad",19.27722222222222,82.23305555555555,547.0,555.0,556.0,557.98,2010-08-05
004-mdsil,KHOWAI,Khowai,Barak and Others,Tripura,Khowai,"Meghna Division(MD), Silchar",24.0625,91.59833333333331,20.0,25.0,26.0,28.005,2004-06-24
004-mgd3vns,SITAMARHI,Ganga,Ganga,Uttar Pradesh,SANT RAVIDAS NAGAR,"Middle Ganga Division-III(MGD-III), Varanasi",25.27722222222222,82.28722222222223,0.0,80.2,81.2,81.2,2013-08-26
004-wgdngp,Rajegaon,Bagh,Godavari,Madhya Pradesh,BALAGHAT,"Wainganga Division(WD), Nagpur",21.62388888888889,80.25333333333333,272.0,,,284.23,2020-08-29
005-DDASL,Maithon Reservoir,Barakar,Ganga,Jharkhand,DHANBAD,"Damodar Division(DD), Asansol",23.78,86.81,0.0,,150.876,151.83,2006-09-23
005-ERDBWN,Govindpur (NH5 Road Bridge),Burhabalang,Subernarekha,Odisha,Baleshwar,"Eastern Rivers Division(ERD), Bhubaneswar",21.547777777777775,86.91805555555555,0.0,7.21,8.13,9.5,1973-10-08
